# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.09153 868.91 0.806824
  2 2.09153 863.556 0.801853
  3 3.09153 865.27 0.803444
  4 4.09153 866.42 0.804512
  5 5.09153 866.86 0.80492
  6 6.09153 864.292 0.802536
  7 7.09153 855.67 0.79453
  8 8.09153 855.574 0.794441
  9 9.09153 863.294 0.801609
  10 10.0915 859.452 0.798042
  11 11.0915 858.224 0.796902
  12 12.0915 870.03 0.807864
  13 13.0915 864.686 0.802902
  14 14.0915 865.156 0.803338
  15 15.0915 863.576 0.801871
  16 16.0915 847.528 0.78697
  17 17.0915 810.102 0.752218
  18 18.0915 792.582 0.73595
  19 19.0915 772.656 0.717448
  20 20.0915 754.846 0.70091
  21 21.0915 744.682 0.691472
  22 22.0915 731.966 0.679665
  23 23.0915 732.63 0.680282
  24 24.0915 731.782 0.679494
  25 25.0915 736.938 0.684282
  26 26.0915 746.49 0.693151
  27 27.0915 767.184 0.712367
  28 28.0915 786.658 0.730449
  29 29.0915 814.868 0.756643
  30 30.0915 838.006 0.778128
  31 31.0915 856.62 0.795412
  32 32.0915 869.302 0.807188
  33 33.0915 714.19 0.663159
9000000 33 54000
  1 1.09153 842.869 0.782644
  2 2.09153 850.579 0.789803
  3 3.09153 855.914 0.794757
  4 4.09153 862.539 0.800908
  5 5.09153 865.531 0.803686
  6 6.09153 859.941 0.798496
  7 7.09153 856.009 0.794845
  8 8.09153 859.872 0.798432
  9 9.09153 867.049 0.805096
  10 10.0915 862.509 0.80088
  11 11.0915 861.521 0.799963
  12 12.0915 866.677 0.804751
  13 13.0915 863.977 0.802243
  14 14.0915 865.693 0.803837
  15 15.0915 863.274 0.801591
  16 16.0915 853.942 0.792925
  17 17.0915 836.784 0.776993
  18 18.0915 829.982 0.770678
  19 19.0915 822.381 0.76362
  20 20.0915 809.548 0.751704
  21 21.0915 795.671 0.738818
  22 22.0915 779.301 0.723618
  23 23.0915 770.422 0.715373
  24 24.0915 756.744 0.702673
  25 25.0915 743.625 0.690491
  26 26.0915 738.45 0.685686
  27 27.0915 744.074 0.690908
  28 28.0915 754.238 0.700346
  29 29.0915 772.929 0.717701
  30 30.0915 786.601 0.730396
  31 31.0915 802.769 0.745409
  32 32.0915 819.249 0.760711
  33 33.0915 679.336 0.630796
10000000 33 81000
  1 1.09153 820.124 0.761524
  2 2.09153 830.297 0.77097
  3 3.09153 841.263 0.781153
  4 4.09153 850.547 0.789773
  5 5.09153 857.262 0.796008
  6 6.09153 856.971 0.795738
  7 7.09153 855.122 0.794021
  8 8.09153 861.617 0.800052
  9 9.09153 866.587 0.804667
  10 10.0915 859.616 0.798194
  11 11.0915 860.237 0.798771
  12 12.0915 864.737 0.802949
  13 13.0915 859.151 0.797762
  14 14.0915 862.023 0.800429
  15 15.0915 864.925 0.803124
  16 16.0915 857.729 0.796442
  17 17.0915 845.711 0.785283
  18 18.0915 841.794 0.781646
  19 19.0915 832.819 0.773312
  20 20.0915 828.573 0.769369
  21 21.0915 821.291 0.762608
  22 22.0915 806.973 0.749313
  23 23.0915 796.037 0.739158
  24 24.0915 778.251 0.722643
  25 25.0915 762.277 0.70781
  26 26.0915 749.765 0.696193
  27 27.0915 747.167 0.69378
  28 28.0915 750.199 0.696596
  29 29.0915 760.877 0.706511
  30 30.0915 771.251 0.716143
  31 31.0915 782.067 0.726186
  32 32.0915 796.561 0.739644
  33 33.0915 660.177 0.613006
11000000 33 108000
  1 1.09153 798.834 0.741756
  2 2.09153 806.051 0.748457
  3 3.09153 817.409 0.759003
  4 4.09153 830.798 0.771436
  5 5.09153 844.535 0.784191
  6 6.09153 850.853 0.790057
  7 7.09153 853.679 0.792681
  8 8.09153 859.256 0.79786
  9 9.09153 862.476 0.80085
  10 10.0915 858.962 0.797587
  11 11.0915 861.519 0.799962
  12 12.0915 865.764 0.803903
  13 13.0915 858.484 0.797142
  14 14.0915 863.364 0.801674
  15 15.0915 865.251 0.803426
  16 16.0915 858.66 0.797306
  17 17.0915 851.657 0.790803
  18 18.0915 847.937 0.787349
  19 19.0915 841.851 0.781699
  20 20.0915 836.992 0.777187
  21 21.0915 832.48 0.772997
  22 22.0915 822.413 0.763649
  23 23.0915 812.925 0.754839
  24 24.0915 797.553 0.740566
  25 25.0915 782.533 0.726619
  26 26.0915 768.632 0.713711
  27 27.0915 761.791 0.707359
  28 28.0915 759.93 0.705631
  29 29.0915 761 0.706624
  30 30.0915 764.572 0.709941
  31 31.0915 773.367 0.718108
  32 32.0915 782.426 0.72652
  33 33.0915 646.046 0.599884
12000000 33 135000
  1 1.09153 808.776 0.750987
  2 2.09153 808.928 0.751128
  3 3.09153 814.855 0.756632
  4 4.09153 823.142 0.764327
  5 5.09153 830.17 0.770852
  6 6.09153 831.702 0.772274
  7 7.09153 831.114 0.771728
  8 8.09153 833.434 0.773883
  9 9.09153 835.94 0.77621
  10 10.0915 834.041 0.774447
  11 11.0915 837.731 0.777873
  12 12.0915 844.006 0.783699
  13 13.0915 843.406 0.783142
  14 14.0915 851.3 0.790472
  15 15.0915 858.49 0.797149
  16 16.0915 858.301 0.796973
  17 17.0915 853.651 0.792655
  18 18.0915 850.787 0.789996
  19 19.0915 847.302 0.78676
  20 20.0915 841.463 0.781338
  21 21.0915 837.538 0.777694
  22 22.0915 829.383 0.770121
  23 23.0915 824.299 0.765401
  24 24.0915 812.987 0.754897
  25 25.0915 801.174 0.743928
  26 26.0915 787.574 0.7313
  27 27.0915 780.031 0.724295
  28 28.0915 778.827 0.723178
  29 29.0915 780.573 0.724799
  30 30.0915 782.652 0.726729
  31 31.0915 790.467 0.733986
  32 32.0915 798.48 0.741427
  33 33.0915 657.476 0.610497
