# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 35.1917
20000 35.1941
30000 35.2075
40000 35.2222
50000 35.2288
60000 35.2273
70000 35.222
80000 35.221
90000 35.2283
100000 35.2351
110000 35.2405
120000 35.2504
130000 35.2578
140000 35.2658
150000 35.2747
160000 35.2834
170000 35.2954
180000 35.3045
190000 35.313
200000 35.3216
210000 35.3288
220000 35.3341
230000 35.3365
240000 35.338
250000 35.3392
260000 35.3399
270000 35.3431
280000 35.3481
290000 35.3532
300000 35.3584
310000 35.3626
320000 35.3656
330000 35.3683
340000 35.3708
350000 35.3747
360000 35.3793
370000 35.3851
380000 35.3911
390000 35.3966
400000 35.4017
410000 35.4067
420000 35.4115
430000 35.4165
440000 35.4225
450000 35.4288
460000 35.4359
470000 35.4428
480000 35.4494
490000 35.4564
500000 35.4628
510000 35.4689
520000 35.4749
530000 35.4811
540000 35.4875
550000 35.4943
560000 35.5017
570000 35.5097
580000 35.5171
590000 35.5246
600000 35.5324
610000 35.5411
620000 35.5498
630000 35.5587
640000 35.5684
650000 35.5781
660000 35.5876
670000 35.5968
680000 35.6058
690000 35.6139
700000 35.6216
710000 35.6297
720000 35.638
730000 35.6459
740000 35.6539
750000 35.6619
760000 35.6702
770000 35.679
780000 35.6879
790000 35.6959
800000 35.7043
810000 35.7135
820000 35.723
830000 35.7322
840000 35.7415
850000 35.7505
860000 35.7596
870000 35.7689
880000 35.7778
890000 35.7865
900000 35.795
910000 35.8029
920000 35.8107
930000 35.8183
940000 35.8261
950000 35.8338
960000 35.8414
970000 35.8484
980000 35.8559
990000 35.8636
1000000 35.871
1010000 35.8782
1020000 35.885
1030000 35.8916
1040000 35.8983
1050000 35.9048
1060000 35.9117
1070000 35.9184
1080000 35.9253
1090000 35.9327
1100000 35.9404
1110000 35.9483
1120000 35.9559
1130000 35.9637
1140000 35.9712
1150000 35.9789
1160000 35.9869
1170000 35.995
1180000 36.0032
1190000 36.0114
1200000 36.0196
1210000 36.0278
1220000 36.0357
1230000 36.0433
1240000 36.051
1250000 36.0581
1260000 36.0653
1270000 36.0721
1280000 36.0791
1290000 36.0861
1300000 36.0931
1310000 36.1002
1320000 36.1074
1330000 36.1144
1340000 36.1209
1350000 36.1274
1360000 36.134
1370000 36.1404
1380000 36.1468
1390000 36.1533
1400000 36.1596
1410000 36.1656
1420000 36.1714
1430000 36.1771
1440000 36.1827
1450000 36.1888
1460000 36.1951
1470000 36.2014
1480000 36.208
1490000 36.215
1500000 36.2218
1510000 36.2288
1520000 36.2358
1530000 36.243
1540000 36.2501
1550000 36.2574
1560000 36.2646
1570000 36.272
1580000 36.2796
1590000 36.2872
1600000 36.2948
1610000 36.3024
1620000 36.3102
1630000 36.318
1640000 36.3255
1650000 36.3327
1660000 36.34
1670000 36.3472
1680000 36.3543
1690000 36.3613
1700000 36.3683
1710000 36.3753
1720000 36.3821
1730000 36.3892
1740000 36.3962
1750000 36.4033
1760000 36.4102
1770000 36.4175
1780000 36.4249
1790000 36.4321
1800000 36.4392
1810000 36.4462
1820000 36.4532
1830000 36.4601
1840000 36.4669
1850000 36.4736
1860000 36.4803
1870000 36.4869
1880000 36.4932
1890000 36.4995
1900000 36.5057
1910000 36.5117
1920000 36.5177
1930000 36.5236
1940000 36.5297
1950000 36.5357
1960000 36.5417
1970000 36.5476
1980000 36.5537
1990000 36.5599
