# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 34 27000
  1 0.5 771.526 0.66741
  2 1.5 787.404 0.681145
  3 2.5 787.598 0.681313
  4 3.5 802.236 0.693976
  5 4.5 803.526 0.695092
  6 5.5 802.67 0.694351
  7 6.5 805.356 0.696675
  8 7.5 797.37 0.689766
  9 8.5 778.904 0.673792
  10 9.5 797.94 0.69026
  11 10.5 789.916 0.683318
  12 11.5 802.432 0.694145
  13 12.5 796.666 0.689157
  14 13.5 780.886 0.675507
  15 14.5 803.078 0.694704
  16 15.5 784.698 0.678804
  17 16.5 786.55 0.680407
  18 17.5 802.738 0.69441
  19 18.5 799.142 0.691299
  20 19.5 794.424 0.687218
  21 20.5 803.5 0.695069
  22 21.5 795.17 0.687863
  23 22.5 806.502 0.697666
  24 23.5 805.362 0.69668
  25 24.5 797.148 0.689574
  26 25.5 795.422 0.688081
  27 26.5 803.574 0.695133
  28 27.5 792.594 0.685635
  29 28.5 791.01 0.684265
  30 29.5 803.622 0.695175
  31 30.5 786.972 0.680772
  32 31.5 784.908 0.678986
  33 32.5 772.552 0.668298
  34 33.5 786.604 0.680453
2000000 34 54000
  1 0.5 786.14 0.680052
  2 1.5 788.7 0.682266
  3 2.5 791.031 0.684283
  4 3.5 803.01 0.694645
  5 4.5 794.69 0.687448
  6 5.5 797.547 0.68992
  7 6.5 789.231 0.682726
  8 7.5 789.667 0.683103
  9 8.5 780.79 0.675424
  10 9.5 785.191 0.679231
  11 10.5 793.135 0.686103
  12 11.5 799.426 0.691545
  13 12.5 805.622 0.696905
  14 13.5 790.26 0.683616
  15 14.5 805.524 0.69682
  16 15.5 795.579 0.688217
  17 16.5 778.826 0.673725
  18 17.5 795.513 0.68816
  19 18.5 793.169 0.686132
  20 19.5 797.531 0.689906
  21 20.5 797.14 0.689567
  22 21.5 791.664 0.68483
  23 22.5 806.718 0.697853
  24 23.5 792.846 0.685853
  25 24.5 792.558 0.685604
  26 25.5 797.164 0.689588
  27 26.5 798.119 0.690414
  28 27.5 800.325 0.692323
  29 28.5 796.832 0.689301
  30 29.5 800.23 0.69224
  31 30.5 791.726 0.684884
  32 31.5 800.326 0.692324
  33 32.5 782.697 0.677074
  34 33.5 791.073 0.684319
3000000 34 81000
